latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.362038,38.819096,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,29.5,25.1,44940.88
2011-01-02,30.4,24.4,44935.32
2011-01-03,30.7,25.2,44929.19
2011-01-04,30.9,25.1,44922.52
2011-01-05,30.5,25.7,44915.31
2011-01-06,30.8,25.3,44907.59
2011-01-07,30.0,25.6,44899.37
2011-01-08,30.2,25.4,44890.66
2011-01-09,30.0,26.0,44881.50
2011-01-10,30.7,24.9,44871.89
2011-01-11,30.0,25.0,44861.84
2011-01-12,29.8,25.1,44851.37
2011-01-13,29.9,25.4,44840.51
2011-01-14,30.2,24.6,44829.26
2011-01-15,29.8,25.7,44817.64
2011-01-16,30.3,25.9,44805.68
2011-01-17,30.0,25.7,44793.38
2011-01-18,30.1,25.3,44780.75
2011-01-19,29.7,25.0,44767.83
2011-01-20,31.0,24.7,44754.62
2011-01-21,30.7,25.8,44741.11
2011-01-22,30.5,26.1,44727.18
2011-01-23,30.4,25.9,44712.79
2011-01-24,30.8,25.1,44697.97
2011-01-25,30.8,25.8,44682.75
2011-01-26,30.8,26.2,44667.16
2011-01-27,30.7,26.2,44651.20
2011-01-28,30.7,25.9,44634.93
2011-01-29,31.3,26.0,44618.34
2011-01-30,31.4,26.0,44601.46
2011-01-31,31.1,26.1,44584.33
2011-02-01,31.7,25.5,44566.95
2011-02-02,32.0,25.8,44549.36
2011-02-03,31.4,24.9,44531.56
2011-02-04,31.2,25.3,44513.60
2011-02-05,31.5,25.6,44495.47
2011-02-06,31.8,25.5,44477.21
2011-02-07,31.2,25.7,44458.84
2011-02-08,30.9,25.9,44440.37
2011-02-09,31.3,25.7,44421.82
2011-02-10,31.6,26.3,44403.20
2011-02-11,32.8,26.2,44384.32
2011-02-12,33.8,25.4,44365.17
2011-02-13,32.5,25.0,44345.77
2011-02-14,29.9,26.0,44326.13
2011-02-15,30.9,24.5,44306.29
2011-02-16,28.9,25.6,44286.26
2011-02-17,30.2,26.2,44266.06
2011-02-18,30.3,26.3,44245.71
2011-02-19,30.8,26.2,44225.23
2011-02-20,29.9,26.0,44204.64
2011-02-21,30.3,25.6,44183.96
2011-02-22,30.3,24.9,44163.21
2011-02-23,31.0,25.5,44142.41
2011-02-24,30.5,25.4,44121.57
2011-02-25,30.6,25.5,44100.71
2011-02-26,30.9,25.9,44079.86
2011-02-27,30.8,25.5,44059.02
2011-02-28,30.2,25.4,44038.21
2011-03-01,30.8,25.5,44017.47
2011-03-02,31.7,24.7,43996.76
2011-03-03,32.1,25.1,43975.94
2011-03-04,31.6,26.0,43954.99
2011-03-05,31.7,25.3,43933.90
2011-03-06,31.1,24.9,43912.72
2011-03-07,29.8,24.9,43891.45
2011-03-08,30.5,25.4,43870.10
2011-03-09,30.3,25.9,43848.70
2011-03-10,30.4,25.8,43827.25
2011-03-11,31.5,25.1,43805.78
2011-03-12,32.1,25.5,43784.29
2011-03-13,31.9,25.8,43762.81
2011-03-14,30.0,24.9,43741.35
2011-03-15,30.4,24.4,43719.93
2011-03-16,30.7,25.3,43698.55
2011-03-17,31.1,24.0,43677.24
2011-03-18,31.4,23.8,43656.00
2011-03-19,30.8,24.2,43634.86
2011-03-20,29.9,24.8,43613.83
2011-03-21,30.0,24.5,43592.92
2011-03-22,31.4,24.8,43572.13
2011-03-23,31.2,24.7,43551.30
2011-03-24,30.7,24.3,43530.43
2011-03-25,30.9,24.2,43509.52
2011-03-26,30.5,24.8,43488.59
2011-03-27,30.8,24.2,43467.64
2011-03-28,31.3,24.6,43446.70
2011-03-29,31.2,25.1,43425.78
2011-03-30,31.5,24.6,43404.88
2011-03-31,30.7,24.8,43384.04
2011-04-01,30.4,24.4,43363.24
2011-04-02,30.2,24.7,43342.52
2011-04-03,30.1,24.7,43321.89
2011-04-04,29.8,24.9,43301.35
2011-04-05,28.9,23.9,43280.93
2011-04-06,29.2,23.4,43260.63
2011-04-07,28.5,24.0,43240.48
2011-04-08,27.7,24.1,43220.48
2011-04-09,29.4,23.7,43200.66
2011-04-10,30.7,24.2,43181.01
2011-04-11,30.6,24.7,43161.55
2011-04-12,29.7,24.8,43142.13
2011-04-13,28.8,24.7,43122.73
2011-04-14,29.7,24.6,43103.38
2011-04-15,29.2,24.2,43084.07
2011-04-16,29.2,23.9,43064.83
2011-04-17,29.7,23.8,43045.66
2011-04-18,28.9,23.8,43026.59
2011-04-19,28.0,24.1,43007.61
2011-04-20,27.8,23.2,42988.76
2011-04-21,27.2,23.8,42970.04
2011-04-22,27.8,23.9,42951.46
2011-04-23,28.2,23.4,42933.05
2011-04-24,28.8,23.3,42914.82
2011-04-25,29.3,24.3,42896.77
2011-04-26,27.7,24.0,42878.93
2011-04-27,29.9,23.8,42861.31
2011-04-28,29.7,24.3,42843.93
2011-04-29,29.9,24.5,42826.79
2011-04-30,29.8,23.5,42809.93
2011-05-01,28.9,24.5,42793.33
2011-05-02,29.8,23.8,42776.87
2011-05-03,29.4,24.4,42760.53
2011-05-04,30.0,24.5,42744.34
2011-05-05,30.8,23.6,42728.28
2011-05-06,29.5,24.1,42712.39
2011-05-07,29.0,24.2,42696.68
2011-05-08,28.6,23.5,42681.16
2011-05-09,28.3,23.6,42665.84
2011-05-10,26.4,23.1,42650.75
2011-05-11,27.9,23.4,42635.88
2011-05-12,28.9,23.6,42621.27
2011-05-13,28.9,23.9,42606.91
2011-05-14,28.8,23.7,42592.83
2011-05-15,29.2,23.6,42579.04
2011-05-16,28.2,22.6,42565.56
2011-05-17,28.1,23.2,42552.41
2011-05-18,28.6,23.6,42539.59
2011-05-19,28.8,24.0,42527.12
2011-05-20,28.5,23.5,42515.03
2011-05-21,28.4,23.3,42503.31
2011-05-22,28.9,23.1,42491.86
2011-05-23,27.6,23.1,42480.68
2011-05-24,27.7,23.3,42469.76
2011-05-25,28.1,22.9,42459.12
2011-05-26,27.7,22.8,42448.79
2011-05-27,28.8,23.0,42438.75
2011-05-28,28.8,23.3,42429.01
2011-05-29,28.5,22.9,42419.61
2011-05-30,28.5,23.3,42410.53
2011-05-31,28.4,23.2,42401.80
2011-06-01,28.4,23.0,42393.41
2011-06-02,29.3,22.1,42385.40
2011-06-03,28.7,22.6,42377.75
2011-06-04,27.7,23.2,42370.50
2011-06-05,28.3,23.0,42363.63
2011-06-06,28.5,22.7,42357.18
2011-06-07,28.3,23.3,42351.13
2011-06-08,27.9,23.1,42345.52
2011-06-09,28.1,23.1,42340.34
2011-06-10,27.9,22.9,42335.61
2011-06-11,29.0,23.0,42331.27
2011-06-12,29.5,22.0,42327.33
2011-06-13,28.8,22.6,42323.79
2011-06-14,30.2,22.3,42320.64
2011-06-15,29.8,21.8,42317.89
2011-06-16,28.1,21.6,42315.54
2011-06-17,27.8,21.7,42313.58
2011-06-18,28.9,22.0,42312.03
2011-06-19,29.4,22.4,42310.88
2011-06-20,28.7,22.5,42310.13
2011-06-21,28.4,22.9,42309.78
2011-06-22,28.2,22.5,42309.83
2011-06-23,28.3,22.7,42310.29
2011-06-24,28.2,22.8,42311.15
2011-06-25,28.1,22.4,42312.41
2011-06-26,28.8,22.7,42314.08
2011-06-27,28.0,22.5,42316.15
2011-06-28,28.5,22.4,42318.62
2011-06-29,30.3,21.7,42321.50
2011-06-30,29.8,22.2,42324.78
2011-07-01,29.2,22.9,42328.50
2011-07-02,28.6,22.8,42332.67
2011-07-03,28.0,22.3,42337.27
2011-07-04,29.3,22.2,42342.29
2011-07-05,29.1,21.6,42347.72
2011-07-06,29.8,20.5,42353.55
2011-07-07,29.8,20.7,42359.78
2011-07-08,29.8,20.9,42366.39
2011-07-09,28.3,20.5,42373.39
2011-07-10,29.6,20.6,42380.74
2011-07-11,29.3,20.5,42388.45
2011-07-12,29.7,21.1,42396.50
2011-07-13,29.9,22.7,42404.89
2011-07-14,29.3,22.3,42413.61
2011-07-15,28.6,21.7,42422.64
2011-07-16,28.7,21.6,42431.98
2011-07-17,28.6,22.0,42441.62
2011-07-18,28.8,21.9,42451.55
2011-07-19,28.5,21.7,42461.75
2011-07-20,29.2,21.9,42472.24
2011-07-21,29.3,21.6,42483.10
2011-07-22,30.2,21.4,42494.34
2011-07-23,30.0,21.7,42505.95
2011-07-24,29.0,21.3,42517.92
2011-07-25,29.4,21.1,42530.22
2011-07-26,29.1,21.5,42542.84
2011-07-27,28.5,22.5,42555.77
2011-07-28,27.8,21.7,42569.00
2011-07-29,29.4,21.7,42582.50
2011-07-30,30.0,20.7,42596.26
2011-07-31,29.2,22.1,42610.28
2011-08-01,29.2,21.2,42624.53
2011-08-02,29.3,21.9,42639.00
2011-08-03,30.4,21.2,42653.68
2011-08-04,26.2,22.4,42668.54
2011-08-05,28.1,22.1,42683.59
2011-08-06,28.1,22.4,42698.81
2011-08-07,29.2,22.2,42714.18
2011-08-08,28.3,21.3,42729.68
2011-08-09,28.0,22.4,42745.33
2011-08-10,28.4,21.2,42761.24
2011-08-11,28.3,22.1,42777.44
2011-08-12,28.1,21.3,42793.89
2011-08-13,28.4,21.1,42810.60
2011-08-14,28.8,21.6,42827.53
2011-08-15,29.4,21.6,42844.68
2011-08-16,29.4,22.0,42862.04
2011-08-17,28.8,22.3,42879.59
2011-08-18,29.4,21.3,42897.31
2011-08-19,28.6,21.2,42915.19
2011-08-20,29.2,21.5,42933.21
2011-08-21,28.3,21.8,42951.37
2011-08-22,29.2,21.4,42969.65
2011-08-23,30.5,21.7,42988.03
2011-08-24,30.0,21.3,43006.51
2011-08-25,29.5,22.0,43025.05
2011-08-26,30.1,22.3,43043.68
2011-08-27,29.1,22.3,43062.35
2011-08-28,30.6,22.2,43081.06
2011-08-29,29.4,22.1,43099.81
2011-08-30,30.0,22.5,43118.74
2011-08-31,29.6,22.8,43137.85
2011-09-01,28.3,22.2,43157.14
2011-09-02,28.9,22.2,43176.60
2011-09-03,29.7,22.0,43196.21
2011-09-04,28.8,22.4,43215.95
2011-09-05,29.5,22.0,43235.81
2011-09-06,29.6,22.3,43255.79
2011-09-07,30.3,22.3,43275.86
2011-09-08,29.4,23.3,43296.02
2011-09-09,29.4,22.5,43316.24
2011-09-10,29.1,22.7,43336.53
2011-09-11,29.1,22.9,43356.86
2011-09-12,28.8,22.4,43377.23
2011-09-13,28.2,22.2,43397.61
2011-09-14,28.4,22.2,43418.01
2011-09-15,29.0,22.0,43438.39
2011-09-16,29.2,22.4,43458.77
2011-09-17,29.5,22.4,43479.11
2011-09-18,29.5,22.2,43499.42
2011-09-19,30.0,23.1,43519.85
2011-09-20,29.8,22.0,43540.41
2011-09-21,31.7,22.1,43561.08
2011-09-22,30.0,23.3,43581.86
2011-09-23,30.0,23.1,43602.72
2011-09-24,29.8,22.3,43623.67
2011-09-25,29.1,23.1,43644.68
2011-09-26,28.9,23.2,43665.73
2011-09-27,28.9,23.0,43686.83
2011-09-28,30.3,21.1,43707.95
2011-09-29,28.8,23.4,43729.07
2011-09-30,28.2,23.0,43750.19
2011-10-01,28.3,22.7,43771.29
2011-10-02,29.9,22.6,43792.36
2011-10-03,29.7,23.5,43813.38
2011-10-04,29.3,21.1,43834.33
2011-10-05,29.7,24.1,43855.21
2011-10-06,30.5,23.7,43876.00
2011-10-07,29.7,23.1,43896.69
2011-10-08,29.5,23.3,43917.27
2011-10-09,27.5,22.9,43937.90
2011-10-10,28.5,22.4,43958.61
2011-10-11,27.8,22.8,43979.36
2011-10-12,27.9,22.2,44000.16
2011-10-13,27.7,23.4,44020.99
2011-10-14,28.9,23.3,44041.82
2011-10-15,28.6,23.1,44062.65
2011-10-16,29.0,24.0,44083.45
2011-10-17,28.6,23.3,44104.21
2011-10-18,28.9,23.0,44124.91
2011-10-19,29.7,23.1,44145.54
2011-10-20,30.0,23.2,44166.07
2011-10-21,29.3,23.4,44186.49
2011-10-22,30.2,23.9,44206.79
2011-10-23,31.1,23.4,44226.95
2011-10-24,29.7,23.7,44246.93
2011-10-25,30.2,23.9,44266.73
2011-10-26,30.5,22.9,44286.33
2011-10-27,29.9,24.7,44305.71
2011-10-28,29.9,24.6,44324.86
2011-10-29,30.1,24.9,44343.96
2011-10-30,31.7,23.1,44363.04
2011-10-31,31.8,25.1,44382.06
2011-11-01,31.7,23.9,44401.02
2011-11-02,31.6,23.0,44419.88
2011-11-03,31.4,24.0,44438.64
2011-11-04,28.7,24.4,44457.27
2011-11-05,30.3,23.7,44475.76
2011-11-06,28.5,24.8,44494.08
2011-11-07,30.1,24.2,44512.22
2011-11-08,31.7,23.5,44530.14
2011-11-09,29.7,23.9,44547.83
2011-11-10,29.5,23.0,44565.27
2011-11-11,29.6,24.1,44582.44
2011-11-12,28.2,23.7,44599.30
2011-11-13,27.9,23.8,44615.85
2011-11-14,26.8,23.7,44632.05
2011-11-15,27.8,23.8,44647.88
2011-11-16,28.7,24.4,44663.32
2011-11-17,28.8,23.6,44678.36
2011-11-18,26.5,23.3,44693.17
2011-11-19,28.4,23.1,44707.77
2011-11-20,29.5,23.6,44722.13
2011-11-21,28.9,23.2,44736.24
2011-11-22,29.3,23.8,44750.09
2011-11-23,29.5,24.7,44763.64
2011-11-24,29.2,24.6,44776.89
2011-11-25,30.2,24.2,44789.82
2011-11-26,29.7,25.5,44802.40
2011-11-27,29.7,25.3,44814.62
2011-11-28,30.2,23.8,44826.45
2011-11-29,28.7,24.5,44837.88
2011-11-30,27.9,23.8,44848.89
2011-12-01,29.9,24.3,44859.45
2011-12-02,29.8,23.4,44869.56
2011-12-03,29.2,24.6,44879.18
2011-12-04,30.0,24.8,44888.29
2011-12-05,29.7,25.4,44896.89
2011-12-06,29.8,24.2,44904.94
2011-12-07,29.6,24.4,44912.44
2011-12-08,29.4,24.8,44919.48
2011-12-09,30.2,25.2,44926.08
2011-12-10,30.2,25.9,44932.23
2011-12-11,29.1,25.1,44937.92
2011-12-12,29.3,25.2,44943.15
2011-12-13,29.7,25.5,44947.91
2011-12-14,30.0,25.4,44952.20
2011-12-15,30.0,25.0,44956.00
2011-12-16,30.6,25.8,44959.32
2011-12-17,30.1,26.0,44962.14
2011-12-18,30.1,25.4,44964.46
2011-12-19,30.6,25.2,44966.29
2011-12-20,29.7,24.2,44967.59
2011-12-21,29.0,24.2,44968.39
2011-12-22,28.7,25.5,44968.67
2011-12-23,29.7,25.3,44968.42
2011-12-24,30.2,24.6,44967.64
2011-12-25,30.8,24.3,44966.34
2011-12-26,31.3,24.6,44964.49
2011-12-27,30.4,24.6,44962.11
2011-12-28,29.0,23.8,44959.15
2011-12-29,29.4,25.4,44955.62
2011-12-30,29.9,25.2,44951.55
2011-12-31,30.0,26.0,44946.93
2012-01-01,29.9,26.1,44941.79
2012-01-02,29.7,25.6,44936.13
2012-01-03,29.6,25.1,44929.96
2012-01-04,30.0,25.8,44923.31
2012-01-05,29.5,26.3,44916.17
2012-01-06,29.8,26.0,44908.57
2012-01-07,29.9,25.8,44900.52
2012-01-08,29.9,25.7,44892.02
2012-01-09,30.1,25.7,44883.10
2012-01-10,29.7,25.7,44873.77
2012-01-11,29.7,25.8,44864.03
2012-01-12,30.3,25.7,44853.90
2012-01-13,30.4,25.9,44843.40
2012-01-14,30.6,25.6,44832.54
2012-01-15,30.5,25.4,44821.32
2012-01-16,30.9,25.9,44809.75
2012-01-17,30.7,26.2,44797.70
2012-01-18,30.4,25.6,44785.16
2012-01-19,30.0,25.7,44772.15
2012-01-20,27.1,25.2,44758.69
2012-01-21,30.4,25.6,44744.81
2012-01-22,30.6,25.8,44730.53
2012-01-23,30.3,25.7,44715.88
2012-01-24,30.1,25.6,44700.88
2012-01-25,30.0,25.6,44685.54
2012-01-26,29.9,25.9,44669.89
2012-01-27,30.1,25.5,44653.95
2012-01-28,29.8,25.5,44637.74
2012-01-29,29.9,25.5,44621.30
2012-01-30,29.8,25.8,44604.62
2012-01-31,29.4,25.0,44587.75
2012-02-01,30.2,25.1,44570.69
2012-02-02,31.0,24.6,44553.47
2012-02-03,31.0,24.7,44536.11
2012-02-04,30.5,25.4,44518.62
2012-02-05,30.4,25.2,44501.00
2012-02-06,30.8,25.1,44483.09
2012-02-07,30.5,25.9,44464.85
2012-02-08,30.6,25.4,44446.32
2012-02-09,30.8,25.4,44427.52
2012-02-10,30.2,25.4,44408.46
2012-02-11,30.4,25.6,44389.18
2012-02-12,31.0,25.7,44369.70
2012-02-13,31.2,25.9,44350.02
2012-02-14,30.8,26.1,44330.18
2012-02-15,30.1,25.9,44310.20
2012-02-16,30.8,25.5,44290.09
2012-02-17,30.8,25.6,44269.88
2012-02-18,31.2,25.3,44249.58
2012-02-19,31.7,24.6,44229.21
2012-02-20,33.0,25.2,44208.80
2012-02-21,31.9,25.6,44188.37
2012-02-22,30.9,25.3,44167.92
2012-02-23,30.5,26.3,44147.48
2012-02-24,30.4,26.0,44127.07
2012-02-25,31.0,25.5,44106.68
2012-02-26,31.0,25.3,44086.14
2012-02-27,30.7,25.3,44065.45
2012-02-28,30.3,24.7,44044.59
2012-02-29,31.7,26.5,44023.61
2012-03-01,30.6,25.2,44002.51
2012-03-02,32.3,26.4,43981.31
2012-03-03,31.1,26.8,43960.03
2012-03-04,31.0,26.6,43938.69
2012-03-05,30.8,25.3,43917.29
2012-03-06,30.9,25.4,43895.86
2012-03-07,29.4,25.9,43874.42
2012-03-08,30.0,25.6,43852.98
2012-03-09,30.3,25.7,43831.55
2012-03-10,30.8,25.5,43810.16
2012-03-11,31.1,24.6,43788.80
2012-03-12,30.4,24.7,43767.52
2012-03-13,29.2,24.4,43746.30
2012-03-14,30.3,25.8,43725.18
2012-03-15,30.5,26.4,43704.16
2012-03-16,29.7,25.1,43683.25
2012-03-17,28.6,24.1,43662.29
2012-03-18,29.6,24.8,43641.25
2012-03-19,29.8,25.5,43620.16
2012-03-20,30.2,24.7,43599.03
2012-03-21,29.5,25.0,43577.86
2012-03-22,29.2,24.3,43556.68
2012-03-23,28.5,24.1,43535.50
2012-03-24,28.7,24.1,43514.34
2012-03-25,29.3,23.8,43493.20
2012-03-26,29.1,23.8,43472.10
2012-03-27,29.8,23.9,43451.06
2012-03-28,30.3,24.2,43430.08
2012-03-29,30.0,26.1,43409.19
2012-03-30,29.9,25.5,43388.39
2012-03-31,30.1,24.9,43367.70
2012-04-01,30.7,23.5,43347.14
2012-04-02,31.6,24.9,43326.71
2012-04-03,30.1,25.2,43306.44
2012-04-04,29.1,24.1,43286.34
2012-04-05,29.1,24.3,43266.39
2012-04-06,29.0,24.0,43246.47
2012-04-07,29.6,23.7,43226.55
2012-04-08,29.8,24.2,43206.65
2012-04-09,30.1,24.1,43186.78
2012-04-10,29.7,24.4,43166.96
2012-04-11,26.9,24.3,43147.18
2012-04-12,29.3,24.0,43127.48
2012-04-13,30.9,24.7,43107.86
2012-04-14,30.9,24.8,43088.34
2012-04-15,31.4,24.6,43068.92
2012-04-16,30.0,24.4,43049.64
2012-04-17,29.1,24.9,43030.49
2012-04-18,29.9,24.7,43011.49
2012-04-19,30.6,24.7,42992.67
2012-04-20,31.7,24.6,42974.02
2012-04-21,31.6,23.9,42955.57
2012-04-22,31.3,23.8,42937.34
2012-04-23,31.5,24.5,42919.33
2012-04-24,31.4,24.7,42901.56
2012-04-25,27.4,24.8,42884.04
2012-04-26,31.1,24.5,42866.62
2012-04-27,31.0,24.9,42849.30
2012-04-28,30.1,23.9,42832.09
2012-04-29,25.9,22.3,42815.00
2012-04-30,24.7,23.3,42798.04
2012-05-01,27.2,23.1,42781.23
2012-05-02,23.5,21.0,42764.57
2012-05-03,27.2,22.7,42748.10
2012-05-04,29.1,23.0,42731.81
2012-05-05,29.1,23.6,42715.73
2012-05-06,28.8,23.5,42699.86
2012-05-07,29.0,23.5,42684.23
2012-05-08,29.5,23.7,42668.85
2012-05-09,29.4,22.8,42653.73
2012-05-10,28.9,23.2,42638.90
2012-05-11,27.3,23.6,42624.36
2012-05-12,25.4,22.6,42610.12
2012-05-13,28.3,22.9,42596.22
2012-05-14,28.3,23.7,42582.65
2012-05-15,27.4,23.0,42569.44
2012-05-16,28.7,23.6,42556.46
2012-05-17,28.7,23.4,42543.70
2012-05-18,29.1,22.5,42531.18
2012-05-19,28.9,22.1,42518.90
2012-05-20,29.9,22.8,42506.88
2012-05-21,29.3,23.1,42495.12
2012-05-22,29.3,23.9,42483.64
2012-05-23,29.1,24.0,42472.46
2012-05-24,29.2,23.4,42461.58
2012-05-25,29.1,24.4,42451.02
2012-05-26,28.4,23.2,42440.78
2012-05-27,27.1,23.0,42430.89
2012-05-28,28.1,22.4,42421.34
2012-05-29,28.7,22.9,42412.16
2012-05-30,27.0,23.3,42403.36
2012-05-31,27.3,22.6,42394.95
2012-06-01,28.5,22.7,42386.95
2012-06-02,28.2,22.9,42379.35
2012-06-03,28.5,22.4,42372.19
2012-06-04,28.6,22.7,42365.45
2012-06-05,28.2,21.2,42359.09
2012-06-06,28.6,21.6,42353.09
2012-06-07,28.8,21.5,42347.47
2012-06-08,28.5,22.0,42342.21
2012-06-09,28.9,21.3,42337.33
2012-06-10,29.3,22.1,42332.83
2012-06-11,29.0,23.2,42328.71
2012-06-12,29.2,23.1,42324.99
2012-06-13,29.1,21.4,42321.65
2012-06-14,29.2,21.7,42318.71
2012-06-15,28.9,22.4,42316.16
2012-06-16,28.5,22.0,42314.02
2012-06-17,28.1,22.1,42312.28
2012-06-18,28.6,22.5,42310.95
2012-06-19,27.7,22.8,42310.03
2012-06-20,29.0,22.3,42309.53
2012-06-21,28.6,22.0,42309.44
2012-06-22,27.4,22.6,42309.77
2012-06-23,26.5,21.9,42310.53
2012-06-24,27.5,22.0,42311.71
2012-06-25,27.3,22.6,42313.34
2012-06-26,27.5,22.8,42315.40
2012-06-27,27.3,22.1,42317.90
2012-06-28,27.7,20.6,42320.82
2012-06-29,26.9,21.6,42324.17
2012-06-30,26.6,21.9,42327.92
2012-07-01,27.2,21.7,42332.08
2012-07-02,27.5,21.7,42336.64
2012-07-03,27.6,21.8,42341.59
2012-07-04,27.2,21.5,42346.93
2012-07-05,27.7,21.4,42352.64
2012-07-06,27.4,21.4,42358.71
2012-07-07,27.5,20.9,42365.15
2012-07-08,28.4,20.8,42371.95
2012-07-09,27.7,21.5,42379.09
2012-07-10,27.9,21.4,42386.56
2012-07-11,27.7,21.0,42394.37
2012-07-12,27.7,21.4,42402.50
2012-07-13,28.7,21.0,42410.95
2012-07-14,28.5,22.2,42419.71
2012-07-15,27.9,22.0,42428.88
2012-07-16,28.3,22.5,42438.45
2012-07-17,28.7,21.9,42448.41
2012-07-18,29.2,21.3,42458.75
2012-07-19,27.7,21.0,42469.45
2012-07-20,28.4,20.1,42480.50
2012-07-21,28.5,20.3,42491.89
2012-07-22,29.6,20.1,42503.59
2012-07-23,27.5,19.8,42515.60
2012-07-24,29.0,21.3,42527.91
2012-07-25,28.6,21.8,42540.50
2012-07-26,28.6,22.0,42553.34
2012-07-27,29.0,22.3,42566.44
2012-07-28,28.0,21.9,42579.78
2012-07-29,29.3,21.8,42593.34
2012-07-30,29.4,21.1,42607.12
2012-07-31,29.1,21.5,42621.10
2012-08-01,29.8,21.8,42635.25
2012-08-02,29.6,22.0,42649.59
2012-08-03,29.4,21.5,42664.11
2012-08-04,29.6,21.6,42678.91
2012-08-05,29.5,21.0,42694.02
2012-08-06,29.5,20.9,42709.42
2012-08-07,28.9,20.8,42725.10
2012-08-08,28.7,22.6,42741.04
2012-08-09,28.9,22.2,42757.21
2012-08-10,28.3,22.7,42773.63
2012-08-11,28.7,21.7,42790.25
2012-08-12,27.9,20.6,42807.07
2012-08-13,28.3,20.3,42824.08
2012-08-14,28.3,21.7,42841.26
2012-08-15,28.6,21.1,42858.60
2012-08-16,29.7,21.8,42876.08
2012-08-17,28.4,21.8,42893.68
2012-08-18,28.9,21.7,42911.41
2012-08-19,25.2,22.7,42929.23
2012-08-20,26.8,21.7,42947.14
2012-08-21,27.4,20.8,42965.12
2012-08-22,27.6,20.7,42983.17
2012-08-23,28.1,21.9,43001.29
2012-08-24,28.5,21.7,43019.59
2012-08-25,28.5,21.4,43038.10
2012-08-26,28.4,21.1,43056.81
2012-08-27,28.2,22.7,43075.70
2012-08-28,29.6,21.4,43094.77
2012-08-29,28.3,21.8,43113.98
2012-08-30,28.8,22.3,43133.34
2012-08-31,28.0,21.5,43152.82
2012-09-01,27.7,21.3,43172.43
2012-09-02,27.7,21.5,43192.13
2012-09-03,29.4,21.4,43211.92
2012-09-04,30.0,20.3,43231.78
2012-09-05,31.1,20.7,43251.71
2012-09-06,30.3,22.5,43271.69
2012-09-07,28.9,22.5,43291.70
2012-09-08,29.7,21.7,43311.75
2012-09-09,29.3,21.1,43331.80
2012-09-10,28.5,22.2,43351.85
2012-09-11,29.0,22.6,43371.89
2012-09-12,29.6,23.1,43391.92
2012-09-13,28.2,22.6,43412.07
2012-09-14,29.1,22.1,43432.37
2012-09-15,30.4,22.3,43452.80
2012-09-16,31.3,22.4,43473.36
2012-09-17,29.4,23.2,43494.01
2012-09-18,29.1,22.8,43514.75
2012-09-19,28.7,21.7,43535.57
2012-09-20,28.8,21.7,43556.46
2012-09-21,29.2,22.0,43577.41
2012-09-22,29.3,20.6,43598.39
2012-09-23,29.6,21.2,43619.39
2012-09-24,28.3,21.5,43640.41
2012-09-25,30.3,21.8,43661.42
2012-09-26,29.8,21.9,43682.42
2012-09-27,30.9,22.5,43703.40
2012-09-28,30.1,23.1,43724.33
2012-09-29,29.5,22.8,43745.21
2012-09-30,30.3,23.9,43766.02
2012-10-01,31.3,23.6,43786.74
2012-10-02,30.0,22.4,43807.39
2012-10-03,28.0,23.3,43828.11
2012-10-04,29.3,22.0,43848.91
2012-10-05,29.6,22.8,43869.79
2012-10-06,30.0,23.4,43890.73
2012-10-07,29.6,23.2,43911.71
2012-10-08,29.7,23.2,43932.73
2012-10-09,30.2,23.7,43953.75
2012-10-10,30.7,22.8,43974.78
2012-10-11,29.3,23.6,43995.79
2012-10-12,29.0,24.0,44016.77
2012-10-13,28.9,23.3,44037.70
2012-10-14,29.0,23.7,44058.56
2012-10-15,29.8,21.1,44079.34
2012-10-16,30.1,22.9,44100.02
2012-10-17,30.4,22.3,44120.58
2012-10-18,29.2,23.5,44141.02
2012-10-19,29.5,24.7,44161.30
2012-10-20,30.0,24.3,44181.41
2012-10-21,30.8,24.5,44201.34
2012-10-22,30.8,22.5,44221.08
2012-10-23,32.1,23.8,44240.81
2012-10-24,32.0,24.2,44260.53
2012-10-25,31.1,23.7,44280.25
2012-10-26,31.1,23.5,44299.92
2012-10-27,30.0,24.3,44319.55
2012-10-28,31.2,24.0,44339.11
2012-10-29,31.4,23.3,44358.57
2012-10-30,31.1,23.8,44377.93
2012-10-31,30.9,24.6,44397.16
2012-11-01,30.3,24.6,44416.24
2012-11-02,31.3,25.0,44435.16
2012-11-03,29.9,23.5,44453.88
2012-11-04,29.6,24.7,44472.39
2012-11-05,29.9,23.3,44490.68
2012-11-06,31.7,24.0,44508.71
2012-11-07,30.4,24.4,44526.46
2012-11-08,31.2,24.9,44543.91
2012-11-09,28.1,24.4,44561.04
2012-11-10,30.4,23.2,44577.83
2012-11-11,31.0,24.5,44594.28
2012-11-12,31.0,24.2,44610.54
2012-11-13,30.9,25.0,44626.64
2012-11-14,31.4,24.9,44642.57
2012-11-15,28.8,25.1,44658.30
2012-11-16,30.1,23.7,44673.82
2012-11-17,28.2,24.1,44689.10
2012-11-18,30.0,24.9,44704.12
2012-11-19,30.5,24.7,44718.88
2012-11-20,30.3,24.5,44733.33
2012-11-21,30.2,25.0,44747.46
2012-11-22,29.9,25.8,44761.26
2012-11-23,29.8,24.4,44774.70
2012-11-24,29.9,24.2,44787.76
